driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,FastestLapSpeed,statusId
grosjean,lotus_f1,8,13,17,R,0,63,,,57.0,21.0,1:20.969,148.501,Collision
ricciardo,toro_rosso,19,12,18,R,0,61,,,26.0,13.0,1:19.426,151.386,Collision
jules_bianchi,marussia,22,20,19,R,0,58,,,49.0,18.0,1:20.617,149.149,Brakes
maldonado,williams,16,16,20,R,0,44,,,8.0,19.0,1:20.881,148.662,Collision
massa,ferrari,4,21,21,R,0,28,,,28.0,16.0,1:20.064,150.179,Accident
pic,caterham,20,18,22,R,0,7,,,4.0,22.0,1:22.772,145.266,Gearbox
vettel,red_bull,1,1,1,1,25,70,1:32:09.143,5529143.0,55.0,5.0,1:16.561,205.060,Finished
alonso,ferrari,3,6,2,2,18,70,+14.408,5543551.0,69.0,2.0,1:16.203,206.023,Finished
hamilton,mercedes,10,2,3,3,15,70,+15.942,5545085.0,69.0,3.0,1:16.354,205.615,Finished
webber,red_bull,2,5,4,4,12,70,+25.731,5554874.0,69.0,1.0,1:16.182,206.080,Finished
rosberg,mercedes,9,4,5,5,10,70,+1:09.725,5598868.0,70.0,4.0,1:16.534,205.132,Finished
vergne,toro_rosso,18,7,6,6,8,69,,,61.0,13.0,1:17.909,201.512,+1 Lap
resta,force_india,14,17,7,7,6,69,,,63.0,12.0,1:17.841,201.688,+1 Lap
massa,ferrari,4,16,8,8,4,69,,,69.0,6.0,1:16.939,204.052,+1 Lap
raikkonen,lotus_f1,7,10,9,9,2,69,,,61.0,11.0,1:17.766,201.882,+1 Lap
sutil,force_india,15,8,10,10,1,69,,,68.0,10.0,1:17.694,202.069,+1 Lap
perez,mclaren,6,12,11,11,0,69,,,69.0,7.0,1:17.369,202.918,+1 Lap
button,mclaren,5,14,12,12,0,69,,,68.0,8.0,1:17.458,202.685,+1 Lap
grosjean,lotus_f1,8,22,13,13,0,69,,,62.0,9.0,1:17.607,202.296,+1 Lap
bottas,williams,17,3,14,14,0,69,,,63.0,14.0,1:18.004,201.266,+1 Lap
ricciardo,toro_rosso,19,11,15,15,0,68,,,68.0,16.0,1:18.257,200.615,+2 Laps
maldonado,williams,16,13,16,16,0,68,,,68.0,15.0,1:18.105,201.006,+2 Laps
jules_bianchi,marussia,22,19,17,17,0,68,,,68.0,17.0,1:18.873,199.049,+2 Laps
pic,caterham,20,18,18,18,0,67,,,60.0,19.0,1:19.380,197.777,+3 Laps
chilton,marussia,23,20,19,19,0,67,,,67.0,21.0,1:19.566,197.315,+3 Laps
gutierrez,sauber,12,15,20,20,0,63,,,52.0,20.0,1:19.478,197.533,Accident
hulkenberg,sauber,11,9,21,R,0,45,,,40.0,18.0,1:19.056,198.588,Collision
garde,caterham,21,21,22,R,0,43,,,42.0,22.0,1:21.811,191.900,Collision
rosberg,mercedes,9,2,1,1,25,52,1:32:59.456,5579456.0,50.0,2.0,1:33.531,226.744,Finished
webber,red_bull,2,4,2,2,18,52,+0.765,5580221.0,52.0,1.0,1:33.401,227.059,Finished
alonso,ferrari,3,9,3,3,15,52,+7.124,5586580.0,50.0,3.0,1:34.090,225.396,Finished
hamilton,mercedes,10,1,4,4,12,52,+7.756,5587212.0,51.0,4.0,1:34.159,225.231,Finished
raikkonen,lotus_f1,7,8,5,5,10,52,+11.257,5590713.0,49.0,8.0,1:35.384,222.339,Finished
massa,ferrari,4,11,6,6,8,52,+14.573,5594029.0,51.0,6.0,1:35.273,222.598,Finished
sutil,force_india,15,6,7,7,6,52,+16.335,5595791.0,35.0,12.0,1:35.961,221.002,Finished
ricciardo,toro_rosso,19,5,8,8,4,52,+16.543,5595999.0,37.0,11.0,1:35.927,221.080,Finished
resta,force_india,14,21,9,9,2,52,+17.943,5597399.0,52.0,7.0,1:35.330,222.465,Finished
hulkenberg,sauber,11,14,10,10,1,52,+19.709,5599165.0,48.0,13.0,1:36.013,220.882,Finished
maldonado,williams,16,15,11,11,0,52,+21.135,5600591.0,52.0,10.0,1:35.907,221.126,Finished
bottas,williams,17,16,12,12,0,52,+25.094,5604550.0,52.0,15.0,1:36.312,220.196,Finished
button,mclaren,5,10,13,13,0,52,+25.969,5605425.0,39.0,16.0,1:36.356,220.096,Finished
gutierrez,sauber,12,17,14,14,0,52,+26.285,5605741.0,32.0,17.0,1:36.439,219.906,Finished
pic,caterham,20,18,15,15,0,52,+31.613,5611069.0,52.0,18.0,1:37.091,218.430,Finished
jules_bianchi,marussia,22,19,16,16,0,52,+36.097,5615553.0,51.0,19.0,1:37.978,216.452,Finished
chilton,marussia,23,20,17,17,0,52,+1:07.660,5647116.0,50.0,22.0,1:39.156,213.881,Finished
garde,caterham,21,22,18,18,0,52,+1:07.759,5647215.0,50.0,21.0,1:38.722,214.821,Finished
grosjean,lotus_f1,8,7,19,19,0,51,,,48.0,9.0,1:35.614,221.804,Retired
perez,mclaren,6,13,20,20,0,46,,,37.0,14.0,1:36.131,220.611,Wheel
vettel,red_bull,1,3,21,R,0,41,,,37.0,5.0,1:35.018,223.195,Gearbox
vergne,toro_rosso,18,12,22,R,0,35,,,30.0,20.0,1:38.370,215.590,Tyre
vettel,red_bull,1,2,1,1,25,60,1:41:14.711,6074711.0,59.0,5.0,1:34.164,196.814,Finished
raikkonen,lotus_f1,7,4,2,2,18,60,+1.008,6075719.0,57.0,2.0,1:33.767,197.647,Finished
grosjean,lotus_f1,8,5,3,3,15,60,+5.830,6080541.0,57.0,10.0,1:34.576,195.956,Finished
alonso,ferrari,3,8,4,4,12,60,+7.721,6082432.0,51.0,1.0,1:33.468,198.279,Finished
hamilton,mercedes,10,1,5,5,10,60,+26.927,6101638.0,57.0,4.0,1:34.156,196.830,Finished
button,mclaren,5,9,6,6,8,60,+27.996,6102707.0,49.0,7.0,1:34.201,196.736,Finished
webber,red_bull,2,3,7,7,6,60,+37.562,6112273.0,55.0,11.0,1:34.782,195.530,Finished
perez,mclaren,6,13,8,8,4,60,+38.306,6113017.0,50.0,15.0,1:36.134,192.780,Finished
rosberg,mercedes,9,11,9,9,2,60,+46.821,6121532.0,55.0,6.0,1:34.181,196.778,Finished
hulkenberg,sauber,11,10,10,10,1,60,+49.892,6124603.0,58.0,8.0,1:34.244,196.647,Finished
resta,force_india,14,12,11,11,0,60,+53.771,6128482.0,43.0,16.0,1:36.566,191.918,Finished
ricciardo,toro_rosso,19,6,12,12,0,60,+56.975,6131686.0,58.0,14.0,1:35.982,193.086,Finished
sutil,force_india,15,15,13,13,0,60,+57.738,6132449.0,60.0,13.0,1:35.816,193.420,Finished
gutierrez,sauber,12,14,14,14,0,60,+1:00.160,6134871.0,56.0,12.0,1:35.792,193.469,Finished
maldonado,williams,16,18,15,15,0,60,+1:01.929,6136640.0,56.0,9.0,1:34.293,196.544,Finished
bottas,williams,17,17,16,16,0,59,,,56.0,3.0,1:33.972,197.216,+1 Lap
pic,caterham,20,22,17,17,0,59,,,51.0,17.0,1:37.584,189.916,+1 Lap
garde,caterham,21,20,18,18,0,59,,,40.0,19.0,1:38.509,188.133,+1 Lap
chilton,marussia,23,21,19,19,0,59,,,47.0,18.0,1:38.383,188.374,+1 Lap
vergne,toro_rosso,18,16,20,R,0,22,,,12.0,21.0,1:39.281,186.670,Hydraulics
jules_bianchi,marussia,22,19,21,R,0,21,,,20.0,22.0,1:39.844,185.617,Engine
massa,ferrari,4,7,22,R,0,3,,,3.0,20.0,1:38.890,187.408,Spun off
hamilton,mercedes,10,1,1,1,25,70,1:42:29.445,6149445.0,69.0,3.0,1:24.647,186.322,Finished
raikkonen,lotus_f1,7,6,2,2,18,70,+10.938,6160383.0,61.0,6.0,1:25.260,184.982,Finished
vettel,red_bull,1,2,3,3,15,70,+12.459,6161904.0,57.0,2.0,1:24.553,186.529,Finished
webber,red_bull,2,10,4,4,12,70,+18.044,6167489.0,61.0,1.0,1:24.069,187.603,Finished
alonso,ferrari,3,5,5,5,10,70,+31.411,6180856.0,56.0,8.0,1:25.394,184.692,Finished
grosjean,lotus_f1,8,3,6,6,8,70,+52.295,6201740.0,54.0,7.0,1:25.328,184.834,Finished
button,mclaren,5,13,7,7,6,70,+53.819,6203264.0,56.0,11.0,1:26.195,182.975,Finished
massa,ferrari,4,7,8,8,4,70,+56.447,6205892.0,59.0,5.0,1:25.176,185.164,Finished
