driverId,constructorId,number,position,Q1,Q2,Q3
gutierrez,sauber,12,18,1:47.776,,
jules_bianchi,marussia,22,19,1:48.147,,
chilton,marussia,23,20,1:48.909,,
garde,caterham,21,21,1:49.519,,
pic,caterham,20,22,1:50.626,,
vettel,red_bull,1,1,1:37.899,1:37.245,1:49.674
massa,ferrari,4,2,1:37.712,1:36.874,1:50.587
alonso,ferrari,3,3,1:37.314,1:36.877,1:50.727
hamilton,mercedes,10,4,1:37.513,1:36.517,1:51.699
webber,red_bull,2,5,1:37.619,1:36.449,1:52.244
rosberg,mercedes,9,6,1:37.239,1:36.190,1:52.519
raikkonen,lotus_f1,7,7,1:36.959,1:36.640,1:52.970
button,mclaren,5,8,1:37.487,1:37.117,1:53.175
hamilton,mercedes,44,1,1:31.699,1:42.890,1:44.231
ricciardo,red_bull,3,2,1:30.775,1:42.295,1:44.548
rosberg,mercedes,6,3,1:32.564,1:42.264,1:44.595
kevin_magnussen,mclaren,20,4,1:30.949,1:43.247,1:45.745
alonso,ferrari,14,5,1:31.388,1:42.805,1:45.819
vergne,toro_rosso,25,6,1:33.488,1:43.849,1:45.864
hulkenberg,force_india,27,7,1:33.893,1:43.658,1:46.030
kvyat,toro_rosso,26,8,1:33.777,1:44.331,1:47.368
massa,williams,19,9,1:31.228,1:44.242,1:48.079
bottas,williams,77,10,1:31.601,1:43.852,1:48.147
button,mclaren,22,11,1:31.396,1:44.437,
raikkonen,ferrari,7,12,1:32.439,1:44.494,
vettel,red_bull,1,13,1:31.931,1:44.688,
sutil,sauber,99,14,1:33.673,1:45.655,
kobayashi,caterham,10,15,1:34.274,1:45.867,
perez,force_india,11,16,1:34.141,1:47.293,
chilton,marussia,4,17,1:34.293,,
jules_bianchi,marussia,17,18,1:34.794,,
gutierrez,sauber,21,19,1:35.117,,
ericsson,caterham,9,20,1:35.157,,
grosjean,lotus_f1,8,21,1:36.993,,
maldonado,lotus_f1,13,22,,,
hamilton,mercedes,44,1,1:57.202,1:59.041,1:59.431
vettel,red_bull,1,2,1:57.654,1:59.399,1:59.486
rosberg,mercedes,6,3,1:57.183,1:59.445,2:00.050
alonso,ferrari,14,4,1:58.889,2:01.356,2:00.175
ricciardo,red_bull,3,5,1:58.913,2:00.147,2:00.541
raikkonen,ferrari,7,6,1:59.257,2:01.532,2:01.218
hulkenberg,force_india,27,7,1:58.883,2:00.839,2:01.712
kevin_magnussen,mclaren,20,8,2:00.356,2:02.094,2:02.213
hamilton,mercedes,44,1,1:28.586,1:26.894,1:26.327
rosberg,mercedes,6,2,1:28.906,1:27.097,1:26.921
massa,williams,19,3,1:29.246,1:27.895,1:27.718
vettel,ferrari,5,4,1:29.307,1:27.742,1:27.757
raikkonen,ferrari,7,5,1:29.754,1:27.807,1:27.790
bottas,williams,77,6,1:29.641,1:27.796,1:28.087
ricciardo,red_bull,3,7,1:29.788,1:28.679,1:28.329
sainz,toro_rosso,55,8,1:29.597,1:28.601,1:28.510
grosjean,lotus_f1,8,9,1:29.537,1:28.589,1:28.560
maldonado,lotus_f1,13,10,1:29.847,1:28.726,1:29.480
nasr,sauber,12,11,1:30.430,1:28.800,
max_verstappen,toro_rosso,33,12,1:29.248,1:28.868,
kvyat,red_bull,26,13,1:30.402,1:29.070,
hulkenberg,force_india,27,14,1:29.651,1:29.208,
perez,force_india,11,15,1:29.990,1:29.209,
ericsson,sauber,9,16,1:31.376,,
button,mclaren,22,17,1:31.422,,
kevin_magnussen,mclaren,20,18,1:32.037,,
hamilton,mercedes,44,1,1:39.269,1:41.517,1:49.834
vettel,ferrari,5,2,1:39.814,1:39.632,1:49.908
rosberg,mercedes,6,3,1:39.374,1:39.377,1:50.299
ricciardo,red_bull,3,4,1:40.504,1:41.085,1:51.541
kvyat,red_bull,26,5,1:40.546,1:41.665,1:51.951
max_verstappen,toro_rosso,33,6,1:40.793,1:41.430,1:51.981
massa,williams,19,7,1:40.543,1:41.230,1:52.473
grosjean,lotus_f1,8,8,1:40.303,1:41.209,1:52.981
bottas,williams,77,9,1:40.249,1:40.650,1:53.179
ericsson,sauber,9,10,1:40.340,1:41.748,1:53.261
raikkonen,ferrari,7,11,1:40.415,1:42.173,
maldonado,lotus_f1,13,12,1:40.361,1:42.198,
hamilton,mercedes,44,1,1:25.351,1:24.605,1:23.837
rosberg,mercedes,6,2,1:26.934,1:24.796,1:24.197
vettel,ferrari,5,3,1:26.945,1:25.257,1:24.675
raikkonen,ferrari,7,4,1:26.579,1:25.615,1:25.033
max_verstappen,toro_rosso,33,5,1:26.934,1:25.615,1:25.434
massa,williams,19,6,1:25.918,1:25.644,1:25.458
sainz,toro_rosso,55,7,1:27.057,1:25.384,1:25.582
ricciardo,red_bull,3,8,1:26.945,1:25.599,1:25.589
perez,force_india,11,9,1:26.607,1:25.753,
hulkenberg,force_india,27,10,1:26.550,1:25.865,
bottas,williams,77,11,1:27.135,1:25.961,
alonso,mclaren,14,12,1:26.537,1:26.125,
button,mclaren,22,13,1:26.740,1:26.304,
jolyon_palmer,renault,30,14,1:27.241,1:27.601,
kevin_magnussen,renault,20,15,1:27.297,1:27.742,
ericsson,sauber,9,16,1:27.435,,
nasr,sauber,12,17,1:27.958,,
kvyat,red_bull,26,18,1:28.006,,
grosjean,haas,8,19,1:28.322,,
gutierrez,haas,21,20,1:29.606,,
haryanto,manor,88,21,1:29.627,,
wehrlein,manor,94,22,1:29.642,,
hamilton,mercedes,44,1,1:31.391,1:30.039,1:29.493
rosberg,mercedes,6,2,1:31.325,1:30.535,1:29.570
vettel,ferrari,5,3,1:31.636,1:30.409,1:30.012
raikkonen,ferrari,7,4,1:31.685,1:30.559,1:30.244
ricciardo,red_bull,3,5,1:31.403,1:31.122,1:30.854
bottas,williams,77,6,1:31.672,1:30.931,1:31.153
massa,williams,19,7,1:32.045,1:31.374,1:31.155
hulkenberg,force_india,27,8,1:31.987,1:31.604,1:31.620
