driverId,points,position,positionText,wins
webber,55.0,3,3,0
button,46.0,4,4,0
alonso,41.0,5,5,0
massa,24.0,6,6,0
heidfeld,21.0,7,7,0
petrov,21.0,8,8,0
rosberg,20.0,9,9,0
kobayashi,8.0,10,10,0
michael_schumacher,6.0,11,11,0
buemi,6.0,12,12,0
sutil,2.0,13,13,0
resta,2.0,14,14,0
alguersuari,0.0,15,15,0
barrichello,0.0,16,16,0
trulli,0.0,17,17,0
perez,0.0,18,18,0
ambrosio,0.0,19,19,0
kovalainen,0.0,20,20,0
glock,0.0,21,21,0
maldonado,0.0,22,22,0
karthikeyan,0.0,23,23,0
liuzzi,0.0,24,24,0
vettel,118.0,1,1,4
hamilton,77.0,2,2,1
webber,67.0,3,3,0
button,61.0,4,4,0
alonso,51.0,5,5,0
rosberg,26.0,6,6,0
heidfeld,25.0,7,7,0
massa,24.0,8,8,0
petrov,21.0,9,9,0
michael_schumacher,14.0,10,10,0
kobayashi,9.0,11,11,0
buemi,6.0,12,12,0
sutil,2.0,13,13,0
perez,2.0,14,14,0
resta,2.0,15,15,0
alguersuari,0.0,16,16,0
barrichello,0.0,17,17,0
trulli,0.0,18,18,0
ambrosio,0.0,19,19,0
kovalainen,0.0,20,20,0
maldonado,0.0,21,21,0
glock,0.0,22,22,0
karthikeyan,0.0,23,23,0
liuzzi,0.0,24,24,0
vettel,143.0,1,1,5
hamilton,85.0,2,2,1
webber,79.0,3,3,0
button,76.0,4,4,0
alonso,69.0,5,5,0
heidfeld,29.0,6,6,0
rosberg,26.0,7,7,0
massa,24.0,8,8,0
petrov,21.0,9,9,0
kobayashi,19.0,10,10,0
michael_schumacher,14.0,11,11,0
sutil,8.0,12,12,0
buemi,7.0,13,13,0
barrichello,2.0,14,14,0
perez,2.0,15,15,0
resta,2.0,16,16,0
alguersuari,0.0,17,17,0
trulli,0.0,18,18,0
kovalainen,0.0,19,19,0
ambrosio,0.0,20,20,0
maldonado,0.0,21,21,0
glock,0.0,22,22,0
liuzzi,0.0,23,23,0
karthikeyan,0.0,24,24,0
vettel,161.0,1,1,5
button,101.0,2,2,1
webber,94.0,3,3,0
hamilton,85.0,4,4,1
alonso,69.0,5,5,0
massa,32.0,6,6,0
petrov,31.0,7,7,0
heidfeld,29.0,8,8,0
michael_schumacher,26.0,9,9,0
rosberg,26.0,10,10,0
kobayashi,25.0,11,11,0
sutil,8.0,12,12,0
buemi,8.0,13,13,0
alguersuari,4.0,14,14,0
barrichello,4.0,15,15,0
perez,2.0,16,16,0
resta,2.0,17,17,0
rosa,0.0,18,18,0
trulli,0.0,19,19,0
liuzzi,0.0,20,20,0
ambrosio,0.0,21,21,0
kovalainen,0.0,22,22,0
karthikeyan,0.0,23,23,0
maldonado,0.0,24,24,0
glock,0.0,25,25,0
vettel,186.0,1,1,6
button,109.0,2,2,1
webber,109.0,3,3,0
hamilton,97.0,4,4,1
alonso,87.0,5,5,0
massa,42.0,6,6,0
rosberg,32.0,7,7,0
petrov,31.0,8,8,0
heidfeld,30.0,9,9,0
michael_schumacher,26.0,10,10,0
kobayashi,25.0,11,11,0
sutil,10.0,12,12,0
alguersuari,8.0,13,13,0
buemi,8.0,14,14,0
barrichello,4.0,15,15,0
perez,2.0,16,16,0
resta,2.0,17,17,0
rosa,0.0,18,18,0
trulli,0.0,19,19,0
liuzzi,0.0,20,20,0
ambrosio,0.0,21,21,0
kovalainen,0.0,22,22,0
karthikeyan,0.0,23,23,0
maldonado,0.0,24,24,0
glock,0.0,25,25,0
vettel,204.0,1,1,6
webber,124.0,2,2,0
alonso,112.0,3,3,1
hamilton,109.0,4,4,1
button,109.0,5,5,1
massa,52.0,6,6,0
rosberg,40.0,7,7,0
heidfeld,34.0,8,8,0
petrov,31.0,9,9,0
michael_schumacher,28.0,10,10,0
kobayashi,25.0,11,11,0
sutil,10.0,12,12,0
alguersuari,9.0,13,13,0
perez,8.0,14,14,0
buemi,8.0,15,15,0
barrichello,4.0,16,16,0
resta,2.0,17,17,0
rosa,0.0,18,18,0
trulli,0.0,19,19,0
liuzzi,0.0,20,20,0
ambrosio,0.0,21,21,0
kovalainen,0.0,22,22,0
maldonado,0.0,23,23,0
karthikeyan,0.0,24,24,0
glock,0.0,25,25,0
ricciardo,0.0,26,26,0
vettel,216.0,1,1,6
webber,139.0,2,2,0
hamilton,134.0,3,3,2
alonso,130.0,4,4,1
button,109.0,5,5,1
massa,62.0,6,6,0
rosberg,46.0,7,7,0
heidfeld,34.0,8,8,0
petrov,32.0,9,9,0
michael_schumacher,32.0,10,10,0
kobayashi,27.0,11,11,0
sutil,18.0,12,12,0
alguersuari,9.0,13,13,0
perez,8.0,14,14,0
buemi,8.0,15,15,0
barrichello,4.0,16,16,0
resta,2.0,17,17,0
rosa,0.0,18,18,0
trulli,0.0,19,19,0
liuzzi,0.0,20,20,0
maldonado,0.0,21,21,0
ambrosio,0.0,22,22,0
kovalainen,0.0,23,23,0
glock,0.0,24,24,0
karthikeyan,0.0,25,25,0
ricciardo,0.0,26,26,0
chandhok,0.0,27,27,0
vettel,234.0,1,1,6
webber,149.0,2,2,0
hamilton,146.0,3,3,2
alonso,145.0,4,4,1
button,134.0,5,5,2
massa,70.0,6,6,0
rosberg,48.0,7,7,0
heidfeld,34.0,8,8,0
petrov,32.0,9,9,0
michael_schumacher,32.0,10,10,0
kobayashi,27.0,11,11,0
sutil,18.0,12,12,0
buemi,12.0,13,13,0
alguersuari,10.0,14,14,0
perez,8.0,15,15,0
resta,8.0,16,16,0
barrichello,4.0,17,17,0
rosa,0.0,18,18,0
trulli,0.0,19,19,0
liuzzi,0.0,20,20,0
maldonado,0.0,21,21,0
ambrosio,0.0,22,22,0
kovalainen,0.0,23,23,0
glock,0.0,24,24,0
karthikeyan,0.0,25,25,0
ricciardo,0.0,26,26,0
chandhok,0.0,27,27,0
vettel,259.0,1,1,7
webber,167.0,2,2,0
alonso,157.0,3,3,1
button,149.0,4,4,2
hamilton,146.0,5,5,2
massa,74.0,6,6,0
rosberg,56.0,7,7,0
michael_schumacher,42.0,8,8,0
petrov,34.0,9,9,0
heidfeld,34.0,10,10,0
kobayashi,27.0,11,11,0
sutil,24.0,12,12,0
buemi,12.0,13,13,0
alguersuari,10.0,14,14,0
perez,8.0,15,15,0
resta,8.0,16,16,0
barrichello,4.0,17,17,0
maldonado,1.0,18,18,0
rosa,0.0,19,19,0
trulli,0.0,20,20,0
liuzzi,0.0,21,21,0
bruno_senna,0.0,22,22,0
ambrosio,0.0,23,23,0
kovalainen,0.0,24,24,0
glock,0.0,25,25,0
karthikeyan,0.0,26,26,0
ricciardo,0.0,27,27,0
chandhok,0.0,28,28,0
vettel,284.0,1,1,8
alonso,172.0,2,2,1
button,167.0,3,3,2
webber,167.0,4,4,0
hamilton,158.0,5,5,2
massa,82.0,6,6,0
rosberg,56.0,7,7,0
michael_schumacher,52.0,8,8,0
petrov,34.0,9,9,0
heidfeld,34.0,10,10,0
kobayashi,27.0,11,11,0
sutil,24.0,12,12,0
alguersuari,16.0,13,13,0
buemi,13.0,14,14,0
resta,12.0,15,15,0
perez,8.0,16,16,0
barrichello,4.0,17,17,0
bruno_senna,2.0,18,18,0
maldonado,1.0,19,19,0
rosa,0.0,20,20,0
trulli,0.0,21,21,0
kovalainen,0.0,22,22,0
liuzzi,0.0,23,23,0
ambrosio,0.0,24,24,0
glock,0.0,25,25,0
karthikeyan,0.0,26,26,0
ricciardo,0.0,27,27,0
chandhok,0.0,28,28,0
vettel,309.0,1,1,9
button,185.0,2,2,2
alonso,184.0,3,3,1
webber,182.0,4,4,0
hamilton,168.0,5,5,2
massa,84.0,6,6,0
rosberg,62.0,7,7,0
michael_schumacher,52.0,8,8,0
petrov,34.0,9,9,0
heidfeld,34.0,10,10,0
sutil,28.0,11,11,0
kobayashi,27.0,12,12,0
resta,20.0,13,13,0
alguersuari,16.0,14,14,0
buemi,13.0,15,15,0
perez,9.0,16,16,0
barrichello,4.0,17,17,0
bruno_senna,2.0,18,18,0
maldonado,1.0,19,19,0
rosa,0.0,20,20,0
trulli,0.0,21,21,0
kovalainen,0.0,22,22,0
liuzzi,0.0,23,23,0
ambrosio,0.0,24,24,0
glock,0.0,25,25,0
karthikeyan,0.0,26,26,0
ricciardo,0.0,27,27,0
chandhok,0.0,28,28,0
vettel,324.0,1,1,9
button,210.0,2,2,3
alonso,202.0,3,3,1
webber,194.0,4,4,0
hamilton,178.0,5,5,2
massa,90.0,6,6,0
rosberg,63.0,7,7,0
michael_schumacher,60.0,8,8,0
petrov,36.0,9,9,0
heidfeld,34.0,10,10,0
sutil,28.0,11,11,0
kobayashi,27.0,12,12,0
resta,20.0,13,13,0
alguersuari,16.0,14,14,0
perez,13.0,15,15,0
buemi,13.0,16,16,0
barrichello,4.0,17,17,0
bruno_senna,2.0,18,18,0
maldonado,1.0,19,19,0
rosa,0.0,20,20,0
trulli,0.0,21,21,0
kovalainen,0.0,22,22,0
liuzzi,0.0,23,23,0
ambrosio,0.0,24,24,0
glock,0.0,25,25,0
karthikeyan,0.0,26,26,0
ricciardo,0.0,27,27,0
chandhok,0.0,28,28,0
vettel,349.0,1,1,10
button,222.0,2,2,3
alonso,212.0,3,3,1
webber,209.0,4,4,0
hamilton,196.0,5,5,2
massa,98.0,6,6,0
rosberg,67.0,7,7,0
michael_schumacher,60.0,8,8,0
petrov,36.0,9,9,0
heidfeld,34.0,10,10,0
sutil,28.0,11,11,0
kobayashi,27.0,12,12,0
alguersuari,22.0,13,13,0
resta,21.0,14,14,0
buemi,15.0,15,15,0
perez,13.0,16,16,0
barrichello,4.0,17,17,0
bruno_senna,2.0,18,18,0
maldonado,1.0,19,19,0
rosa,0.0,20,20,0
trulli,0.0,21,21,0
kovalainen,0.0,22,22,0
liuzzi,0.0,23,23,0
ambrosio,0.0,24,24,0
glock,0.0,25,25,0
karthikeyan,0.0,26,26,0
ricciardo,0.0,27,27,0
chandhok,0.0,28,28,0
vettel,374.0,1,1,11
button,240.0,2,2,3
alonso,227.0,3,3,1
webber,221.0,4,4,0
hamilton,202.0,5,5,2
massa,98.0,6,6,0
rosberg,75.0,7,7,0
michael_schumacher,70.0,8,8,0
petrov,36.0,9,9,0
heidfeld,34.0,10,10,0
sutil,30.0,11,11,0
kobayashi,27.0,12,12,0
alguersuari,26.0,13,13,0
resta,21.0,14,14,0
buemi,15.0,15,15,0
perez,14.0,16,16,0
barrichello,4.0,17,17,0
bruno_senna,2.0,18,18,0
maldonado,1.0,19,19,0
rosa,0.0,20,20,0
trulli,0.0,21,21,0
kovalainen,0.0,22,22,0
liuzzi,0.0,23,23,0
ambrosio,0.0,24,24,0
glock,0.0,25,25,0
karthikeyan,0.0,26,26,0
ricciardo,0.0,27,27,0
chandhok,0.0,28,28,0
vettel,374.0,1,1,11
button,255.0,2,2,3
alonso,245.0,3,3,1
webber,233.0,4,4,0
hamilton,227.0,5,5,3
massa,108.0,6,6,0
rosberg,83.0,7,7,0
michael_schumacher,76.0,8,8,0
petrov,36.0,9,9,0
heidfeld,34.0,10,10,0
sutil,34.0,11,11,0
kobayashi,28.0,12,12,0
alguersuari,26.0,13,13,0
resta,23.0,14,14,0
buemi,15.0,15,15,0
perez,14.0,16,16,0
barrichello,4.0,17,17,0
bruno_senna,2.0,18,18,0
maldonado,1.0,19,19,0
rosa,0.0,20,20,0
trulli,0.0,21,21,0
kovalainen,0.0,22,22,0
liuzzi,0.0,23,23,0
ambrosio,0.0,24,24,0
glock,0.0,25,25,0
karthikeyan,0.0,26,26,0
ricciardo,0.0,27,27,0
chandhok,0.0,28,28,0
vettel,392.0,1,1,11
button,270.0,2,2,3
webber,258.0,3,3,1
